what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069063796
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069069396
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069071097
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069073889
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069073967
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069075168
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069107850
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069109878
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069109972
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069111048
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449069111314
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069132342
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.cut",1449069168363
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449069176334
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069179657
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069181170
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069181248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069182512
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449069183058
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069220066
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069228412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069229457
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069229535
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069230643
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449069230908
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069282642
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069282657
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069303437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069311252
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069312547
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069312609
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069313717
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449069314263
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069334219
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069375856
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069377010
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069377073
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069378133
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069383765
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069384841
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1449069403437
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1449069406447
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069425448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069426681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069426743
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1449069427835
activated,view,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console.ConsoleView",1449069428085
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069441282
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069454261
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069463699
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1449069464791
